SalePrice,id
118404.441501,1461
150274.01425,1462
180228.80321,1463
196949.619758,1464
203222.20337,1465
171000.664973,1466
182601.262872,1467
160288.288351,1468
196224.691895,1469
118468.356298,1470
188464.770703,1471
98562.4542992,1472
94900.8662314,1473
143102.620705,1474
107444.279745,1475
351353.058598,1476
246262.293306,1477
297415.158079,1478
298785.456479,1479
462068.706617,1480
322629.210132,1481
214172.183476,1482
180982.864525,1483
160931.578053,1484
196506.891624,1485
194661.301896,1486
335559.346395,1487
239937.354175,1488
190013.080145,1489
241336.726678,1490
196957.534007,1491
93040.0853427,1492
192724.605015,1493
295268.419833,1494
288482.029479,1495
235424.673587,1496
178774.268438,1497
170403.672382,1498
164405.061496,1499
157487.717853,1500
174641.598109,1501
147504.961124,1502
281944.242369,1503
243225.618719,1504
226988.409211,1505
187010.533592,1506
243184.66203,1507
200327.976973,1508
164168.610594,1509
142186.394614,1510
150444.292846,1511
177082.380231,1512
150343.902172,1513
153094.744187,1514
194979.200604,1515
156971.638113,1516
170705.353158,1517
130709.208798,1518
208905.629802,1519
124805.85884,1520
128149.981765,1521
181811.449719,1522
109488.333781,1523
125820.82628,1524
121176.140329,1525
109285.181796,1526
109205.51819,1527
140850.878066,1528
149418.37009,1529
185399.819326,1530
105620.909523,1531
97892.0868652,1532
147579.865472,1533
127428.434514,1534
148115.982446,1535
105485.538996,1536
62445.5987155,1537
148662.90438,1538
196117.399093,1539
99286.4415012,1540
136392.94522,1541
141283.821208,1542
182269.648874,1543
88068.9660542,1544
117749.796451,1545
140815.168699,1546
127100.283498,1547
142468.623222,1548
123737.709745,1549
132648.600562,1550
105459.937734,1551
134981.576001,1552
146588.643196,1553
117492.811199,1554
157555.725431,1555
86902.5043864,1556
105674.94833,1557
103644.497819,1558
64325.4243496,1559
137018.204829,1560
127432.404074,1561
130240.146472,1562
117281.744722,1563
153953.392424,1564
153055.22791,1565
241125.731231,1566
77331.0579032,1567
230803.794138,1568
123168.205,1569
140383.289273,1570
126512.963279,1571
138869.815415,1572
226677.06305,1573
122962.867484,1574
227532.85361,1575
253769.575057,1576
177946.456239,1577
149491.35575,1578
145323.116492,1579
197367.613176,1580
158077.03827,1581
124161.312755,1582
281097.557753,1583
215757.875226,1584
133860.605113,1585
63966.2551316,1586
108631.463082,1587
151398.01992,1588
96617.6453754,1589
132455.316768,1590
89005.750618,1591
117264.109535,1592
125711.318952,1593
120769.760352,1594
105607.958722,1595
217587.3451,1596
199486.896394,1597
231916.233983,1598
165271.534783,1599
156780.50959,1600
66481.4691352,1601
117124.631251,1602
71748.2046415,1603
253227.666101,1604
240803.88177,1605
167023.618652,1606
176246.516094,1607
216344.315352,1608
180225.773362,1609
151690.827088,1610
140985.454957,1611
173132.74149,1612
164840.967226,1613
128701.651467,1614
95904.1593998,1615
79810.5461758,1616
95653.8749453,1617
126712.090266,1618
137812.503167,1619
150790.190588,1620
140890.459721,1621
141566.328693,1622
264138.578069,1623
212031.483132,1624
116480.669216,1625
172616.799163,1626
192716.207481,1627
282141.365281,1628
