id,SalePrice
1461,115183.622153
1462,159926.425779
1463,179245.01696
1464,202670.465703
1465,197961.356508
1466,172720.645041
1467,177495.1025
1468,164740.77888
1469,182710.778775
1470,119615.782697
1471,193765.83553
1472,100452.042707
1473,99269.1051773
1474,148141.500229
1475,114133.05394
1476,352742.04145
1477,248151.042986
1478,271072.4806
1479,267387.440336
1480,504757.012115
1481,340372.529595
1482,210561.786734
1483,173151.786832
1484,162517.903261
1485,185541.082677
1486,195566.728548
1487,320917.605767
1488,236286.443109
1489,189010.102095
1490,228633.387109
1491,194404.018396
1492,90041.4815163
1493,173424.373729
1494,286179.330842
1495,292950.732284
1496,233613.944686
1497,178085.548924
1498,170053.938986
1499,162021.388819
1500,157479.549947
1501,178030.70424
1502,151291.53249
1503,274774.604814
1504,248263.890006
1505,228776.209021
1506,192049.389575
1507,253231.497287
1508,195818.455188
1509,162111.262731
1510,144463.951493
1511,146538.954549
1512,172535.546765
1513,144630.209426
1514,148426.857299
1515,194053.705978
1516,150464.230509
1517,163955.81883
1518,131383.550293
1519,209801.21221
1520,131900.309589
1521,133004.81289
1522,179792.577187
1523,109551.139752
1524,125414.189779
1525,122252.017329
1526,113874.925306
1527,105361.278121
1528,142461.005561
1529,148435.506352
1530,185317.627934
1531,108731.900764
1532,96323.4082206
1533,142877.138481
1534,122748.607505
1535,141769.307309
1536,107470.692126
1537,57072.9694586
1538,143930.972058
1539,199262.38074
1540,88784.2910002
1541,138238.114625
1542,139649.209149
1543,188128.798099
1544,85543.1176564
1545,114738.860928
1546,130804.615297
1547,131630.725936
1548,130862.058051
1549,121248.620981
1550,131173.524289
1551,106396.608156
1552,131380.051073
1553,144142.705673
1554,122606.437426
1555,158658.128303
1556,83806.4269917
1557,101891.593614
1558,104196.582202
1559,70960.1195481
1560,126313.416236
1561,120419.487676
1562,128438.263708
1563,123216.498043
1564,153554.259082
1565,141707.607704
1566,231256.962367
1567,76934.2356573
1568,241563.085811
1569,121154.429538
1570,141134.168055
1571,126505.857808
1572,146225.007248
1573,229077.790633
1574,118914.96925
1575,222756.534848
1576,253049.118086
1577,173791.98891
1578,144065.844134
1579,143184.024644
1580,194059.264319
1581,152819.451182
1582,125662.6442
1583,313688.642584
1584,220800.157059
1585,138364.194226
1586,69795.7265175
1587,105084.548902
1588,151046.591953
1589,89599.9170698
1590,140059.097371
1591,97122.1224179
1592,114357.726068
1593,123382.522381
1594,121075.425127
1595,104550.95397
1596,225695.013587
1597,194398.525521
1598,225624.873872
1599,160157.052211
1600,153612.136056
1601,62161.6270416
1602,116037.786293
1603,84374.1017422
1604,260753.46967
1605,254482.817635
1606,169899.868385
1607,179599.235867
1608,213988.275409
1609,176692.933743
1610,146408.890795
1611,137894.868071
1612,161544.26875
1613,162706.838238
1614,123050.726159
1615,94304.5030429
1616,82768.0869357
1617,96020.5414593
1618,125991.559762
1619,135366.08695
1620,147666.768103
1621,139542.116697
1622,139454.686231
1623,273969.294821
1624,220457.633422
1625,121097.467873
1626,173595.108049
1627,194400.894551
1628,282659.444068
1629,173396.924798
1630,361427.37235
1631,232792.225684
1632,247848.405965
1633,167892.024976
1634,186330.499092
1635,179248.066778
1636,153851.838439
1637,191737.743556
1638,182181.082445
1639,184248.760009
1640,254043.502656
1641,178513.310037
1642,239072.972887
1643,218129.723239
1644,236500.520803
1645,199994.51607
1646,162762.669542
1647,160979.839341
1648,126298.602272
1649,142036.962411
1650,111916.736082
1651,118486.941414
1652,103184.803479
1653,105594.427367
1654,144160.598691
1655,135337.197954
1656,139674.034303
1657,144698.395807
1658,145370.525228
1659,120648.005104
1660,148059.355735
1661,431943.454203
1662,397231.190445
1663,380740.692499
1664,554869.937661
1665,293270.578551
1666,319620.488748
1667,385944.485343
1668,336248.536773
1669,298622.950101
1670,331199.282575
1671,262864.535873
1672,441950.934034
1673,292240.726464
1674,242401.366438
1675,196048.532017
1676,194143.951756
1677,218738.532813
1678,502379.008108
1679,378845.190983
1680,328404.81571
1681,227076.824081
1682,304541.958593
1683,186254.182898
1684,175159.258414
1685,176474.116977
1686,171788.562145
1687,167837.061325
1688,189810.888484
1689,195851.973111
1690,199664.622944
1691,189066.274988
1692,260001.47422
1693,165252.602546
1694,185121.711867
1695,161297.124086
1696,278580.24663
1697,169527.632977
1698,338886.144458
1699,305411.210142
1700,243997.696677
1701,269625.217265
1702,237703.423944
1703,235158.780987
1704,286391.520553
1705,231477.917255
1706,433502.475072
1707,200723.837475
1708,195627.078917
1709,279078.934134
1710,221982.475601
1711,269278.938283
1712,259445.656087
1713,262471.761905
1714,223113.894798
1715,205772.355069
1716,180028.078625
1717,174623.923275
1718,131788.228243
1719,203318.525763
1720,237380.26239
1721,164046.223132
1722,122138.293534
1723,155035.867144
1724,200401.706001
1725,243970.108223
1726,189092.839443
1727,148132.520289
1728,179660.658658
1729,160808.868738
1730,147743.145851
1731,120174.553185
1732,131439.115547
1733,114865.579342
1734,123107.138992
1735,129876.365217
1736,109045.503802
1737,301546.915118
1738,240450.086115
1739,245594.464847
1740,216191.438419
1741,189188.613225
1742,174230.015387
1743,181125.838775
1744,313686.512519
1745,208395.649997
1746,179988.497483
1747,216019.006468
1748,225524.464433
1749,140977.700921
1750,126688.308746
1751,249196.294881
1752,118112.154752
1753,143861.457488
1754,196195.577514
1755,168569.441668
1756,124496.31038
1757,121391.399838
1758,144405.980788
1759,163676.84001
1760,158488.376279
1761,146435.950082
1762,174106.06646
